,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
28,Full-Stack Team Leader (Django/React),RDI,Dokki,Giza,Egypt ,Full Time,Not Mentioned,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Django Full Stack Development Information Technology (IT) Computer Science RESTful API Microservice Architecture Database Systems,17 days ago
29,Senior Backend Developer,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,Not Mentioned,Experienced,,Business Development,backend Computer Science Design Engineering Information Technology (IT) Python Software Engineering,1 month ago
30,Cnc sheet metal maintenance engineer,Promech Engineering,Maadi,Cairo,Egypt ,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,Manufacturing/Production,Maintenance Mechanical Engineering Metal CNC Production,3 days ago
31,Senior python backend developer.,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Experienced,5 - 8 Yrs of Exp,males_only,Marketing/PR/Advertising backend Software Software Development Web Development,1 month ago
32,Shop Floor Manager,Confidential,Darrasa,Cairo,Egypt ,Full Time,Hybrid,Manager,2 - 3 Yrs of Exp,Operations/Management,Management Quality Assurance Factory Management Project Management Manufacturing,4 days ago
33,Data/Artificial Intelligence Sr. Consultant,Exco Egypt,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Manager,10 - 16 Yrs of Exp,males_preferred,Artificial Intelligence Computer Science Software Development Data Engineer,2 months ago
34,Junior Python Developer,RDI,Dokki,Giza,Egypt ,Full Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,Business Development,Python MySQL JavaScript React Angular RESTful Django,2 days ago
35,Big Data Consultant,Exco Egypt,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Manager,10 - 16 Yrs of Exp,males_preferred,Big Data Analysis Data Management Computer Engineering Data Science,2 months ago
36,Data Analyst,Confidential,Mohandessin,Giza,Egypt ,Full Time,Hybrid,Entry Level,1 - 2 Yrs of Exp,IT/Software Development,analytical Communication skills Computer Science Data Data Analysis Engineering ETL,1 month ago
37,Shift Electrical Engineer,City Glass,10th of Ramadan City,Cairo,Egypt ,Full Time,Hybrid,Experienced,5 - 7 Yrs of Exp,males_only,Classic control Control Electrical Maintenance Electrical Engineering PLC,24 days ago
38,Computer Vision Engineer,RTR Software Solutions ,Nasr City,Cairo,Egypt ,Full Time,Hybrid,Experienced,2 - 5 Yrs of Exp,IT/Software Development,Engineering Communication skills Python Computer Vision NLP yolo,30 days ago
39,Senior Full Stack Engineer,USYTech,Heliopolis,Cairo,Egypt ,Full Time,Hybrid,Entry Level,,IT/Software Development,Development Information Technology (IT) Software Development Web Development JavaScript React Ruby,3 days ago
40,Roads Remote Inspection Engineer,StreetScan,New Cairo,Cairo,Egypt ,Full Time,Hybrid,Entry Level,0 - 4 Yrs of Exp,Engineering - Construction/Civil/Architecture,Roads Transportation engineering Engineering QA Highways,16 days ago
41,Full Stack Engineer,USYTech,Heliopolis,Cairo,Egypt ,Full Time,Hybrid,Entry Level,,Engineering - Telecom/Technology,Information Technology (IT) Software Development Web Development Software Full Stack Development,22 days ago
42,Senior Python Developer,Visionare,Not mentioned,Alexandria,Egypt ,Full Time,Hybrid,Experienced,5 - 20 Yrs of Exp,IT/Software Development,Django Flask RESTful APIs PostgreSQL MySQL Docker Kubernetes,1 month ago
43,Production Internship - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),Ameria,Alexandria,Egypt ,Full Time,Hybrid,Entry Level,0 - 1 Yrs of Exp,Manufacturing/Production,,1 month ago
44,Admin Assistant,Tawasoa Factoring,Heliopolis,Cairo,Egypt ,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,Administration,Communication skills English MS Office Accounting Secretary,2 months ago
45,Senior AWS Administrator,StreetScan,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,7 - 10 Yrs of Exp,IT/Software Development,Information Technology (IT) System Admin System Administration PostgreSQL Docker Node.js,1 month ago
46,Production Engineer,Zahranco Engineering Trade,Badr City,Cairo,Egypt ,Full Time,On-site,Entry Level,,Engineering - Mechanical/Electrical,Engineering Manufacturing Mechanical Engineering Production Production engineer,2 months ago
47,Quality Manager,MY WAY,Obour City,Cairo,Egypt ,Full Time,On-site,Manager,7 - 12 Yrs of Exp,Operations/Management,Quality Assurance Quality Control GMP 5S Lean Manufacturing Methodology ISO 9000,1 month ago
