,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
696,Full Stack Developer,Confidential,Not mentioned,Jeddah,Saudi Arabia ,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,IT/Software Development,Information Technology (IT) JavaScript MongoDB Node.js Software Development Design APIs,24 days ago
697,Senior PHP Laravel Developer,Confidential,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,6 - 8 Yrs of Exp,IT/Software Development,PHP (Laravel) Senior PHP Software Development senior PHP laravel developer Laravel,24 days ago
698,Senior NET Developer,Crevisoft Corporation,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 6 Yrs of Exp,IT/Software Development,.Net ASP.Net Computer Science CSS HTML JavaScript Information Technology (IT),24 days ago
699,Odoo Implementer,JRM for Communications,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,IT/Software Development,ERP Information Technology (IT) Software Development Computer Science,24 days ago
700,Junior Accountant,Cashcall,Maadi,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Accounting/Finance,accountant Accounting Accounting Software Financial Financial Analysis Financial Management General Ledger,24 days ago
701,Senior Backend Engineer,WUZZUF,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 6 Yrs of Exp,IT/Software Development,Backend developer Computer Science developer Information Technology (IT) Software Development senior Software Engineering,24 days ago
702,Senior HR generalist,Alef Software Company,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 7 Yrs of Exp,Human Resources,Payroll Recruitment Screening HR,2 months ago
703,Senior Presales Engineer (AV/ ELV/ICT),Al Safy,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Communication Communication skills Computer Science Electrical Engineering Electrical Engineering Information Technology (IT),24 days ago
704,B2B Sales,Tamkeen,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 8 Yrs of Exp,Business Development,Sales Software Software Sales,25 days ago
705,Sales Representative for School Management System,Scholaware,Not mentioned,Alexandria,Egypt ,Freelance / Project,Remote,Experienced,,Sales/Retail,School sales skills Sales Target Software Education Sales Education,24 days ago
706,React Native Developer,Confidential,Heliopolis,Cairo,Egypt ,Freelance / Project,Remote,Experienced,,IT/Software Development,Mobile Software Development Git,24 days ago
707,General Accountant - E-Commerce,InStock,Abbassia,Cairo,Egypt ,Freelance / Project,Remote,Experienced,3 - 5 Yrs of Exp,Accounting/Finance,Accounting Software Finance Financial general accountant Financial Analysis GAAP,24 days ago
708,Senior Graphic designer,Nile Development ,New Cairo,Cairo,Egypt ,Freelance / Project,Remote,Experienced,3 - 5 Yrs of Exp,Marketing/PR/Advertising,dreamweaver Fine Arts Graphic Graphic Design indesign photoshop Software,25 days ago
709,Accountant,Confidential,Maadi,Cairo,Egypt ,Freelance / Project,Remote,Experienced,2 - 5 Yrs of Exp,Accounting/Finance,Communication skills Finance Financial Analysis Reporting Communication Financial Accounting Software,25 days ago
710,Product Owner,Shebak,Smart Village,Giza,Egypt ,Freelance / Project,Remote,Entry Level,1 - 5 Yrs of Exp,IT/Software Development,Computer Science Product Owner Software Development Product Scrum Agile Software Development,25 days ago
711,Accountant,Emad Farahat for Plastic Import and Export,Zamalek,Cairo,Egypt ,Freelance / Project,Remote,Experienced,3 - 8 Yrs of Exp,Accounting/Finance,CPA Financial Management accountant Accounting Software CMA excel Financial Analysis,25 days ago
712,Android Developer,Seoudi Supermarket,Sheikh Zayed,Giza,Egypt ,Freelance / Project,Remote,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Android Android SDK Computer Science Information Technology (IT) REST SDK Software,25 days ago
713,Internal Auditor,Confidential,Zamalek,Cairo,Egypt ,Freelance / Project,Remote,Experienced,5 - 8 Yrs of Exp,Accounting/Finance,analytical Auditing Auditing standards auditor Finance Financial Analysis MS Office,25 days ago
714,Administrative Assistant,Just HR,Not mentioned,Cairo,Egypt ,Freelance / Project,Remote,Experienced,2 - 4 Yrs of Exp,Administration,Admin Administration Microsoft Office Office management Secretary Arabic English,25 days ago
715,Senior Accountant,ElMehy Engineering Company,Heliopolis,Cairo,Egypt ,Freelance / Project,Remote,Experienced,5 - 7 Yrs of Exp,Accounting/Finance,Finance ERP Corporate Finance Financial Management,25 days ago
716,Call Center Quality Assurance Specialist,LAZARO SCENT ,Smouha,Alexandria,Egypt ,Freelance / Project,Remote,Experienced,2 - 5 Yrs of Exp,Customer Service/Support,Communication Customer Service excel quality Quality Assurance Quality Control Sales,25 days ago
717,Mechanical Engineer Technical Office,Confidential,Nasr City,Cairo,Egypt ,Freelance / Project,Remote,Manager,10 - 20 Yrs of Exp,Engineering - Construction/Civil/Architecture,AutoCAD Calculations Design Revit HVAC MEP HAP,25 days ago
718,Site Engineer,Just HR,Not mentioned,Cairo,Egypt ,Freelance / Project,Remote,Experienced,5 - 8 Yrs of Exp,Engineering - Construction/Civil/Architecture,Civil Engineering Construction Arabic AutoCAD Engineering English gas,25 days ago
719,Account Manager,TAIBA,Wadi Alnatrun,Beheira,Egypt ,Freelance / Project,Remote,Experienced,5 - 15 Yrs of Exp,Business Development,account manager Account Management Business Administration Management CRM sales skills Sales Target,25 days ago
720,iOS App Developer,Seoudi Supermarket,Sheikh Zayed,Giza,Egypt ,Full Time,Remote,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Development Git Information Technology (IT) Mobile Development Objective-C Software Development iOS Development,25 days ago
721,MERN/MEAN Stack Developer,nichepharma,Sheikh Zayed,Giza,Egypt ,Full Time,Remote,Student,0 - 1 Yrs of Exp,IT/Software Development,Computer Science HTML5 Git Front end React Software Development CSS,25 days ago
722,Senior planning Engineer (Female),A&M INTERNATIONAL FOR ENGINEERING WORKS ,New Capital,Cairo,Egypt ,Full Time,Remote,Experienced,10 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture,Planning MS Office Project Project Management Software Development Management Engineering,25 days ago
723,IT Technical Support,IT Pillars,Nasr City,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 4 Yrs of Exp,Installation/Maintenance/Repair,Information Technology (IT) Software Development Technical Support IT Support Networks Customer Service Customer Care,25 days ago
724,.Net Web Developer,Future Internet,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,4 - 10 Yrs of Exp,males_only,.Net ASP.Net JavaScript MVC SQL CSS HTML Agile,25 days ago
725,Backend Developer,Rescounts,Not mentioned,Cairo,Egypt ,Full Time,Remote,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,Agile Software Engineering Docker Git Computer Science Information Technology (IT) Engineering,25 days ago
726,Technical Office Engineer,Arias Egypt ,Alsadat City,Monufya,Egypt ,Full Time,Remote,Experienced,2 - 5 Yrs of Exp,Engineering - Mechanical/Electrical,Design AutoCAD Engineering SolidWorks Microsoft Office CAD Software CAD/CAM,25 days ago
727,Senior Product Designer,Rescounts,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,,Creative/Design/Art,adobe Sketch Design Software Development Computer Science CSS English,25 days ago
728,B2B Sales Account Manager - Hybrid,WUZZUF,Maadi,Cairo,Egypt ,Full Time,Remote,Experienced,,Business Development,Account Management B2B Corporate Sales Account Manager CRM Customer Service English,25 days ago
729,Accounting Manager - F&B,Confidential,Obour City,Cairo,Egypt ,Full Time,Remote,Manager,8 - 10 Yrs of Exp,Accounting/Finance,Accounting Software Communication Finance Financial Management Management Software Oracle,26 days ago
730,Mechanical Design Engineer,A&M INTERNATIONAL FOR ENGINEERING WORKS ,New Capital,Cairo,Egypt ,Full Time,Remote,Experienced,8 - 10 Yrs of Exp,Creative/Design/Art,Design Drawings Engineering Fire Fighting Information Technology (IT) HVAC Mechanical,27 days ago
731,Senior Oracle Developer.,Allianz,New Cairo,Cairo,Egypt ,Full Time,Remote,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Software Development Software Engineering Computer Science Oracle,28 days ago
732,Customer Service Associate | Japanese Speaker,Intouch CX ,Maadi,Cairo,Egypt ,Full Time,Remote,Experienced,,Customer Service/Support,Communication CRM Customer Care Customer Service Customer Support English,28 days ago
733,Android & Flutter Engineer,Denver Avionics,Not mentioned,Cairo,Egypt ,Full Time,Remote,Entry Level,0 - 5 Yrs of Exp,IT/Software Development,Computer Science Flutter Engineering Mobile Development Information Technology (IT) Software Development REST,28 days ago
734,Senior React Native Developer,Money Loop ,New Cairo,Cairo,Egypt ,Full Time,Remote,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Information Technology (IT) React Software Development Redux React Native Continues Integration (CI) Continuous Delivery (CD),28 days ago
735,Senior Technical Lead - Oracle.,Allianz,New Cairo,Cairo,Egypt ,Full Time,On-site,Manager,7 - 12 Yrs of Exp,IT/Software Development,Software Development Technology,28 days ago
736,Customer Service Associate | Korean Speaker,Intouch CX ,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,,Information technology,Customer Care Customer Service Customer Support English Help desk Korean,28 days ago
737,CTO,Genify.ai,Not mentioned,Cairo,Egypt ,Full Time,On-site,Senior Management,10 - 12 Yrs of Exp,IT/Software Development,Back-End Development English Software Engineering Fintech,28 days ago
738,Sales Lead,Egabi FSI,Sheraton,Cairo,Egypt ,Full Time,On-site,Experienced,,Sales/Retail,Finance Communication sales skills Sales Target Software Negotiation,28 days ago
739,"Senior Automation Quality Engineer (Selenium, Appium, REST Assured)",Money Loop ,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 8 Yrs of Exp,IT/Software Development,Automation Automation Testing Computer Science Selenium QA quality Quality Control,28 days ago
740,Sales Executive,Sants Cargo,Faisal,Giza,Egypt ,Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,Sales/Retail,representative CRM Software Customer Service Sales Executive Sales Target sales skills English,28 days ago
741,Industrialization Engineer (Production) - Sheet Metal,Power Solutions,6th of October,Giza,Egypt ,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,Manufacturing/Production,Mechanical Engineering SolidWorks AutoCAD Sheet Metal Engineering Production Mechanical,28 days ago
742,Chief Accountant,Jadara developments and investment,Obour City,Cairo,Egypt ,Full Time,On-site,Manager,10 - 15 Yrs of Exp,Accounting/Finance,Accounting Software Finance Financial Analysis excel Financial Management General Ledger GAAP,28 days ago
743,Technical Sales -Microsoft,CYBERNAS,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Sales Target Software Microsoft 365 Defender Sentinel AAD P2 TO Software Development,28 days ago
744,Junior Brand Manager,Shutter Shop,Sheraton,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,Marketing/PR/Advertising,Advertising Marketing media Sales Social Media CRM Market Research,28 days ago
745,Sales Executive,Mediterranean Tissue Mill,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,,Sales/Retail,sales skills Sales Executive B2B Sales Tissues CRM CRM Software,28 days ago
746,Computer Science & Computer Engineering Fresh Graduates,Confidential,Heliopolis,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 2 Yrs of Exp,IT/Software Development,Computer Science Software Development IBM Tools ITSM Software Engineering SQL DB2,28 days ago
747,Senior Android Developer,Nabd,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Kotlin Software Engineering,28 days ago
748,Online Sales Representative,Global ,Heliopolis,Cairo,Egypt ,Full Time,On-site,Experienced,,Sales/Retail,Skills Software negotiation skills sales skills,28 days ago
749,Mid Full Stack Developer,Theta Technologies ,Mohandessin,Giza,Egypt ,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,IT/Software Development,HTML5 CSS3 Angular JavaScript React Software Development,28 days ago
750,Senior Full Stack Developer,Theta Technologies ,Mohandessin,Giza,Egypt ,Full Time,Remote,Experienced,7 - 8 Yrs of Exp,IT/Software Development,CSS3 JavaScript Angular React Software Development Vue.js Bootstrap 4,28 days ago
751,Devops Engineer,Zeidex,6th of October,Giza,Egypt ,Full Time,Remote,Experienced,3 - 3 Yrs of Exp,IT/Software Development,Software Engineering Software Development Software Ruby Engineering Devops Engineer DevOps,29 days ago
752,CNC Operator Machinist,YONI Furniture ,Heliopolis,Cairo,Egypt ,Full Time,Remote,Entry Level,1 - 3 Yrs of Exp,Engineering - Construction/Civil/Architecture,CNC AutoCAD Manufacturing Production Software Engineering Production Engineering,28 days ago
753,Frontend Developer,Confidential,Heliopolis,Cairo,Egypt ,Full Time,Remote,Entry Level,2 - 3 Yrs of Exp,IT/Software Development,Database CSS Computer Science CodeIgniter AJAX Information Technology (IT) MySQL,29 days ago
754,Accounting Manager (Manufacturing),Outservingplus,Not mentioned,Giza,Egypt ,Full Time,Remote,Experienced,4 - 7 Yrs of Exp,Accounting/Finance,Accounting Accounting Manager Accounting Software CMA CPA excel Finance,29 days ago
755,React Native - Mobile Application Developer,Global ,Heliopolis,Cairo,Egypt ,Full Time,Remote,Experienced,,IT/Software Development,Computer Science Software Development Software Engineering RESTful APIs,29 days ago
756,Sales Executive,Confidential,Not mentioned,Dammam,Saudi Arabia ,Full Time,Remote,Experienced,1 - 3 Yrs of Exp,Sales/Retail,freight Sales Sales Executive sales skills Sales Target CRM CRM Software,29 days ago
757,Technician,Quality Kitchens Int'l,Nasr City,Cairo,Egypt ,Full Time,Remote,Experienced,2 - 8 Yrs of Exp,Installation/Maintenance/Repair,technical Engineering Information Technology (IT) High school diploma Software Customer Service Communication,29 days ago
758,Senior .NET Core Developer,Accelerate Digital Transformation,New Cairo,Cairo,Egypt ,Full Time,Remote,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Computer Science developer Development Engineering English Information Technology (IT) JavaScript,29 days ago
759,Application Support Specialist,Al Ahly Medical Company,Giza,Giza,Egypt ,Full Time,Remote,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support,computer Customer Service Customer Support Customer Care business Information Technology (IT) ITIL,29 days ago
760,Warehouse Supervisor/keeper,Galina,Not mentioned,Alexandria,Egypt ,Full Time,Remote,Experienced,3 - 20 Yrs of Exp,Logistics/Supply Chain,inventory Warehousing forklift Warehouse Warehouse keeper Warehousing Management Warehouse Operations,29 days ago
761,Senior .NET Developer,innovation,New Cairo,Cairo,Egypt ,Full Time,Remote,Experienced,3 - 10 Yrs of Exp,Business Development,.Net senior Software Development Software Engineering developer Information Technology (IT) NET,29 days ago
762,Junior Medication Data Management Specialist,Yodawy Med,Mohandessin,Giza,Egypt ,Full Time,Remote,Entry Level,1 - 2 Yrs of Exp,Medical/Healthcare,Medical Microsoft Office Pharmacy Data Entry Database Management excel Healthcare,29 days ago
763,Accountant Manager,Confidential,New Cairo,Cairo,Egypt ,Full Time,Remote,Manager,7 - 10 Yrs of Exp,Accounting/Finance,Analytical Skills Finance Financial Financial Analysis Financial Management Financial Software Real Estate,29 days ago
764,Sales Engineer,Confidential,Not mentioned,Cairo,Egypt ,Full Time,Remote,Experienced,7 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture,Sales engineer Engineering Ready Mix Concrete sales skills Sales Target Selling Software,29 days ago
765,Financial Controller,Confidential,Nasr City,Cairo,Egypt ,Full Time,On-site,Manager,10 - 15 Yrs of Exp,Accounting/Finance,Accounting Software CMA Finance Financial Financial Analysis Financial Management General Ledger,29 days ago
766,Senior Frontend Developer - React,LINK TSP,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,,29 days ago
767,Senior iOS Developer,Arabia for Information Technology,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,,IT/Software Development,Computer Science Engineering Swift Objective C Information Technology (IT) Software Development Development,29 days ago
768,Senior Android Developer,Arabia for Information Technology,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,,IT/Software Development,Mobile Software Development Mobile Developer Java Computer Science Information Technology (IT) Software,29 days ago
769,Senior Odoo Developer,Beyond Insurance Brokerage,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,JavaScript Python Scrum Odoo Development Odoo CSS HTML,29 days ago
770,Full Stack Developer,engisoft engineering,Ain Shams,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,CSS HTML Information Technology (IT) React MongoDB Software Development JavaScript,29 days ago
771,Application Developer,DE.CI,Maadi,Cairo,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,Development Computer Science Information Technology (IT) mobile applications Software Development mobile application APIs,29 days ago
772,IT Technical Specialist,Medicare,Garden City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Hardware Computer Science Software Security Information Technology (IT),30 days ago
773,Sales Executive,Kepro Technology,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,males_only,Sales Executive sales skills Sales Target Software Marketing Executive CRM,30 days ago
774,Senior Backend Developer PHP / Laravel,Sulfah,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 9 Yrs of Exp,R&D/Science,Computer Engineering Computer Science Information Technology (IT) PHP Software Software Development,30 days ago
775,Senior Business Analyst,Confidential,Sheraton,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,IT/Software Development,Information Technology (IT) Business Development Computer Science Software Software Development,30 days ago
776,Senior Devops Engineer,Wakeb Data,Mohandessin,Giza,Egypt ,Full Time,On-site,Experienced,2 - 5 Yrs of Exp,Installation/Maintenance/Repair,Docker DevOps Software Azure Computer Science,30 days ago
777,Designer (Motion and Graphic),Confidential,Sidi Gaber,Alexandria,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Business Development,3d max Adobe illustrator Communication skills Digital Marketing Design 3D Graphic Design,1 month ago
778,Senior Front End Developer,Bevatel,Dokki,Giza,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art,Agile Computer Science CSS CSS3 front-end Git HTML5,30 days ago
779,Cost Accountant,Mighty Foods,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 10 Yrs of Exp,Accounting/Finance,Accounting Accounting Software analytical Cost Accountant Cost Cost Accounting excel,30 days ago
780,IT Engineer,Confidential,Not mentioned,Cairo,Egypt ,Part Time,Hybrid,Experienced,3 - 5 Yrs of Exp,Installation/Maintenance/Repair,Computer Science IT networks Information Technology (IT) Software,1 month ago
781,Senior .Net Full Stack Developer,Confidential,Sheraton,Cairo,Egypt ,Part Time,Hybrid,Experienced,,IT/Software Development,Information Technology (IT) ASP.Net SQL CSS3 HTML5 JavaScript jQuery,30 days ago
782,General Accountant,Easy Life Technologies,New Cairo,Cairo,Egypt ,Part Time,Hybrid,Experienced,3 - 5 Yrs of Exp,Accounting/Finance,Accounting Software excel Finance Financial Management Software,1 month ago
783,Technical Support Engineer,Afaqy,Maadi,Cairo,Egypt ,Part Time,Hybrid,Experienced,2 - 3 Yrs of Exp,Installation/Maintenance/Repair,Computer Hardware Software Technical Support Microsoft SQL Server Information Technology (IT) Technical Analysis DBA,30 days ago
784,Senior Odoo Developer,Confidential,Nasr City,Cairo,Egypt ,Part Time,Hybrid,Experienced,7 - 10 Yrs of Exp,Installation/Maintenance/Repair,Odoo Information Technology (IT) ERP Odoo ERP Accounting Computer Science Odoo Development,30 days ago
785,AI Specialist,LINK Development,Not mentioned,Cairo,Egypt ,Part Time,Hybrid,Entry Level,1 - 5 Yrs of Exp,IT/Software Development,BI Software Engineering SQL Software Development Power BI SSRS SQL Server,30 days ago
786,Senior .NET Developer,Accelerate Digital Transformation,New Cairo,Cairo,Egypt ,Part Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Computer Science developer Development Engineering English Information Technology (IT) JavaScript,30 days ago
787,Survey Engineer,Adcon construction,New Capital,Cairo,Egypt ,Part Time,Hybrid,Experienced,5 - 8 Yrs of Exp,Engineering - Construction/Civil/Architecture,Software Civil Engineering Land Surveying Quantity Surveying GIS,1 month ago
788,Senior Accountant,Spectrum Engineering ,6th of October,Giza,Egypt ,Part Time,Hybrid,Experienced,7 - 10 Yrs of Exp,Accounting/Finance,Accounting Microsoft Office English Financial Management,1 month ago
789,Senior Backend Developer,Enegix,Glim,Alexandria,Egypt ,Part Time,Hybrid,Experienced,3 - 7 Yrs of Exp,IT/Software Development,Software Development Backend Developer Software Engineering,1 month ago
790,IT Help Desk,Touch Media International,Not mentioned,Cairo,Egypt ,Part Time,Hybrid,Entry Level,1 - 3 Yrs of Exp,IT/Software Development,Help desk Information Technology (IT) Software Hardware Computer Systems,1 month ago
791,Web Application Developer ( Shopify developer),Drobina Stores,New Capital,Cairo,Egypt ,Part Time,Hybrid,Experienced,1 - 2 Yrs of Exp,Creative/Design/Art,Web Development WordPress Shopify,1 month ago
792,Presales Manager,Profits Square,Abu Rawash,Giza,Egypt ,Part Time,Hybrid,Manager,,IT/Software Development,Information Technology (IT) PMP Sales sales skills Computer Science Management Software Development,1 month ago
793,Experienced General Accountant - Tourism and Construction,Novus Stanza ,New Cairo,Cairo,Egypt ,Part Time,Hybrid,Experienced,5 - 8 Yrs of Exp,Accounting/Finance,Construction Finance Financial Analysis,1 month ago
794,Web Developer full stuck,AlRiyada,Nasr City,Cairo,Egypt ,Part Time,Hybrid,Experienced,1 - 3 Yrs of Exp,Creative/Design/Art,Computer Science Design Development Programming Software Design Web Software Development,1 month ago
795,General Accountant,Naga Architects,Sheikh Zayed,Giza,Egypt ,Full Time,On-site,Experienced,3 - 4 Yrs of Exp,Accounting/Finance,excel Finance Financial Analysis Accounting Software English Financial Management CPA,1 month ago
796,Accounts Payable Specialist,Just HR,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,4 - 7 Yrs of Exp,Accounting/Finance,Finance Financial Analysis Accounting Software excel business,1 month ago
797,Senior Software Engineer - Software System Integration and Verification,Thales,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Not specified,,Quality,Computer Science Engineering Software Development Software Engineering Computer Engineering Quality Control,5 days ago
798,Tax Accountant,ABCO Group ,Bourj Alarab,Alexandria,Egypt ,Full Time,On-site,Entry Level,1 - 3 Yrs of Exp,Accounting/Finance,Communication skills Computer Skills corporate tax ERP English excel Finance,1 month ago
799,Senior Full Stack Developer (.NET Core/Angular),ENCOODERS TECHNOLOGIES,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,,IT/Software Development,Full Stack Development Software Software Development ASP.Net,1 month ago
800,Front Desk Representative,Lemonspaces,North Coast,Alexandria,Egypt ,Full Time,On-site,Entry Level,,Hospitality/Hotels/Food Services,Customer Communication Call Center Software Customer Service Hospitality,1 month ago
801,IOT Process optimization consultant / 6 Months contract,Efada Technology,6th of October,Giza,Egypt ,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,Engineering - Construction/Civil/Architecture,Data Science phd operations reasearch Customer Operations Performance Centre Research MBA Software Engineering,1 month ago
802,Accountant,Captain Boy,Not mentioned,Giza,Egypt ,Full Time,On-site,Experienced,1 - 5 Yrs of Exp,Accounting/Finance,Financial Management Financial Analysis Finance Accounting Software CMA CPA excel,1 month ago
803,Software Engineer Digital Assets Trading API (United Arab Emirates),Dev2Work LLC,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Entry Level,,IT/Software Development,computer science software development software engineering software apis testing,6 days ago
804,Technical Interior Architect,MOTHOL,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture,AutoCAD Building Construction Engineering Interior Design Revit Skills,1 month ago
805,ERP Implementer,ISFP,Smouha,Alexandria,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Accounting/Finance,Information Technology (IT) ERP System Analysis Implementing Software Software Development Commerce,1 month ago
806,Senior Odoo Developer,OdooTec,New Cairo,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Software Development HTML ERP Odoo Computer Science Agile CSS,1 month ago
807,Junior Flutter Developer,ENCOODERS TECHNOLOGIES,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,1 - 3 Yrs of Exp,IT/Software Development,flutter Software Development RESTful UX UI,1 month ago
808,System Admin Section Head,Talaat Moustafa Group,Madinaty,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Network Engineering,1 month ago
809,Senior Real state Sales,Al-Freeh,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 5 Yrs of Exp,Customer Service/Support,Microsoft Office Communication Communication skills Negotiation Sales Sales Target Software,1 month ago
810,Application Specialist,Daam ,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,5 - 10 Yrs of Exp,IT/Software Development,ERP Software Development Computer Science Communication Technology SQL,1 month ago
811,Senior Full Stack .Net Core,ElDawlya Company,Maadi,Cairo,Egypt ,Full Time,On-site,Experienced,,IT/Software Development,AJAX Software Development ERP Reporting tools CSS XML Design,1 month ago
812,Senior Backend Developer,Pioneers Now,Nasr City,Cairo,Egypt ,Full Time,On-site,Experienced,,Business Development,backend Computer Science Design Engineering Information Technology (IT) Python Software Engineering,1 month ago
813,Architect,Modera,Obour City,Cairo,Egypt ,Full Time,On-site,Experienced,0 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture,3dsmax Revit Computer Science Construction Creative Engineering Software,1 month ago
814,Senior Network Engineer,Teleperformance,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,6 - 11 Yrs of Exp,IT/Software Development,Cisco Information Technology (IT) Software Development Software Networks Engineering Computer Engineering,1 month ago
815,Senior Telecom Engineer,Teleperformance,Katameya,Cairo,Egypt ,Full Time,On-site,Experienced,3 - 10 Yrs of Exp,IT/Software Development,Information Technology (IT) Networking Networks Troubleshooting Telecommunication Software Development Management,1 month ago
816,Web Developer,Veritas Creative Media ,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,,IT/Software Development,Computer Science CSS Communication skills JavaScript Web Development Digital Marketing Development,1 month ago
817,Project Manager,Confidential,Dokki,Giza,Egypt ,Full Time,On-site,Entry Level,2 - 3 Yrs of Exp,IT/Software Development,Computer Science Information Technology (IT) Project Management Software Management,1 month ago
818,.Net Developer,Daltex Information Technology,Dokki,Giza,Egypt ,Full Time,On-site,Entry Level,1 - 2 Yrs of Exp,IT/Software Development,NET MVC Software Development,1 month ago
819,Python Developer,Digizilla,Not mentioned,Cairo,Egypt ,Full Time,On-site,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Django Flask Software Development Information Technology (IT) Python Programming JavaScript,1 month ago
820,Business Development Specialist - IT & Software,TapTalent.ai,Not mentioned,Riyadh,Saudi Arabia ,Full Time,On-site,Experienced,,Marketing/PR/Advertising,Sales Sales Skills Sales Target Marketing Customer Service Customer Support,2 hours ago
821,Flutter developer,Aqarmap.com,Nasr City,Cairo,Egypt ,Full Time,On-site,Entry Level,3 - 8 Yrs of Exp,IT/Software Development,flutter mobile applications Mobile Software Development Firebase Agile Development,1 month ago
822,Software Engineer - Digital Assets Algorithmic Trading (C#),Austin Werner,Not mentioned,Dubai,United Arab Emirates ,Full Time,On-site,Entry Level,,Quality,Computer Science Software Development Software Engineering Engineering Computer Engineering Software,14 days ago
823,IT Technician,CODPARTNER,Not mentioned,Cairo,Egypt ,Full Time,On-site,Experienced,2 - 4 Yrs of Exp,Installation/Maintenance/Repair,Communication Computer Science Information Technology (IT) IP IT Maintenance network,1 month ago
824,Product Owner,proleaders,Glim,Alexandria,Egypt ,Full Time,On-site,Experienced,2 - 3 Yrs of Exp,IT/Software Development,Computer Science Software Development Product Software Development,1 month ago
