company_name,area,city,country,job_type,job_state,exp_level,job_category,programming_languages,frameworks,Number of Experience Year,posting_date
Focit,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-15
Envirogent,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-15
Peraton,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Customer Service,['r'],not found,4.443075898801598,2024-07-15
Advanced Metals Company (AMCO),Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-15
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-14
CONTECHS,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-15
ckrg,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
ckrg,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
BigLeapGPS,Not mentioned,Al Rayyan,Qatar,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
"Prax Worldwide Media, Marketing, and Promotions",Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-14
Morris Manopla,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
Morris Manopla,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
MBR Partners,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-14
Athene Recrutement,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-14
"Prax Worldwide Media, Marketing, and Promotions",Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-14
Steady State Sports,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-14
Steady State Sports,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
MARHABA RECLUTAMIENTO,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-14
Virtusa,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Entry Level,Management and Leadership,"['sql', 'r']",not found,4.443075898801598,2024-07-14
"Chart Industries, Inc.",Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Manager,Administrative,['r'],not found,4.443075898801598,2024-07-14
Virtusa,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,DevOps and System Administration,['r'],not found,4.443075898801598,2024-07-14
Intoude Foundation Too,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Public Relations,['r'],not found,4.443075898801598,2024-07-14
Immorphosis architecture,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-14
Saybolt Pakistan Limited,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-14
GuestReady,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-14
Beiersdorf,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-14
PRIME IMMIGRATION LTD,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-13
Kinetic Business Solutions,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Other,"['sql', 'r']",not found,4.443075898801598,2024-07-13
Getfast Search,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Administrative,['r'],not found,4.443075898801598,2024-07-13
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Entry Level,Software Engineering,"['java', 'javascript', 'r', 'css', 'java']",not found,4.443075898801598,2024-07-13
GE-V,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
GE-V,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
GE-V,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
avua,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Management and Leadership,['r'],not found,4.443075898801598,2024-07-13
avua,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Public Relations,['r'],not found,4.443075898801598,2024-07-13
CORE Geospatial Inc.,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
CORE Geospatial Inc.,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
Search | Select | Hire Talent,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-13
Mint Music Ltd,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
Midnite's Loot,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-13
Keyrock,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Senior Management,Other,"['python', 'r']",not found,4.443075898801598,2024-07-13
Thales,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Other,['r'],not found,4.443075898801598,2024-07-13
Kreativstorm,Not mentioned,Makkah,Saudi Arabia,Full Time,Not Mentioned,Student,Management and Leadership,['r'],not found,4.443075898801598,2024-07-13
Immersive Experiences,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,IT Professional,['r'],not found,4.443075898801598,2024-07-13
Department for Business and Trade,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-13
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,IT Professional,['r'],not found,4.443075898801598,2024-07-12
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Quality Assurance,['r'],not found,4.443075898801598,2024-07-12
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Public Relations,['r'],not found,4.443075898801598,2024-07-12
Strength-motion; Inc,Not mentioned,Makkah,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Data Entry,['r'],not found,4.443075898801598,2024-07-12
Databrew Consulting,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-12
Surge Global,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-12
Surge Global,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Quality Assurance,['r'],not found,4.443075898801598,2024-07-12
TapTalent.ai,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Management and Leadership,['r'],not found,4.443075898801598,2024-07-12
Intoude Foundation Too,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-12
Black Pen Recruitment,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,DevOps and System Administration,"['sql', 'r']",not found,4.443075898801598,2024-07-12
NAMISITE TECHNOLOGIES PRIVATE LIMITED,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Entry Level,Other,"['java', 'javascript', 'r', 'html', 'css', 'java']",not found,4.443075898801598,2024-07-12
Tackling Autism Foundation,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-12
Strength-motion; Inc,Not mentioned,Makkah,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Design and Creative,['r'],not found,4.443075898801598,2024-07-12
Tackling Autism Foundation,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-12
Mint Music Ltd,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-12
Mint Music Ltd,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-12
Tackling Autism Foundation,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-12
Syska Hennessy Group,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-12
Rosewood Doha,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-12
Amazon Web Services (AWS),Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-12
Jet Luxe,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Software Engineering,"['java', 'javascript', 'r', 'html', 'css', 'java']",not found,4.443075898801598,2024-07-12
OTV France,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-12
DXC Technology,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,IT Professional,['r'],not found,4.443075898801598,2024-07-12
Jobs via eFinancialCareers,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-12
Artisans Ecotimber,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
Artisans Ecotimber,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Management and Leadership,['r'],not found,4.443075898801598,2024-07-11
Voli_Agency _LLC,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Public Relations,['r'],not found,4.443075898801598,2024-07-11
Voli_Agency _LLC,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-11
Voli_Agency _LLC,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Software Engineering,"['java', 'javascript', 'r', 'css', 'java']",not found,4.443075898801598,2024-07-11
Qatar Airways,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Entry Level,Other,"['python', 'sql', 'r']",not found,4.443075898801598,2024-07-11
World Domination Online Interactive Media Entertainment Studio,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-11
InfraSystems Solutions,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-11
"Safe Access, Inc",Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
World Domination Online Interactive Media Entertainment Studio,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
World Domination Online Interactive Media Entertainment Studio,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
APcursos,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
ARENGY,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-11
Anton Paar,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-11
Mallorca Shipping & Handling,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-11
Olayan Descon Industrial Company,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Management and Leadership,['r'],not found,4.443075898801598,2024-07-11
Hilti Emirates,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-11
InfraSystems Solutions,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Anton Paar,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Sales and Marketing,['r'],not found,4.443075898801598,2024-07-11
InfraSystems Solutions,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Constellis,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-10
InfraSystems Solutions,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
InfraSystems Solutions,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
SELLUTION.CO.UK,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-10
"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-10
NicheHR Global,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-11
Tools & Solutions,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Data Engineer,"['sql', 'r']",not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Sales and Marketing,['r'],not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Sales and Marketing,['r'],not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-10
Ooredoo Kuwait,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Data Science and Analytics,"['java', 'sql', 'r', 'java']",not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Sales and Marketing,['r'],not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Artevist,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Other,['r'],not found,4.443075898801598,2024-07-10
WXSYS Corporation,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Sales and Marketing,['r'],not found,4.443075898801598,2024-07-10
Invents & Marks,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Invents & Marks,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Sports for Granted,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Invents & Marks,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-10
Virtusa,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Entry Level,Management and Leadership,"['java', 'javascript', 'r', 'php', 'java']",not found,4.443075898801598,2024-07-10
WTW,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Design and Creative,['r'],not found,4.443075898801598,2024-07-10
VAme Ltd,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Data Science and Analytics,['r'],not found,4.443075898801598,2024-07-10
Virtusa,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Entry Level,Software Engineering,"['java', 'javascript', 'r', 'java']",not found,4.443075898801598,2024-07-10
Virtusa,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Management and Leadership,"['sql', 'r']",not found,4.443075898801598,2024-07-10
Virtusa,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-10
Velosi Integrity & Safety Pakistan (Pvt.) Ltd.,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Other,['r'],not found,4.443075898801598,2024-07-09
Epic,Not mentioned,Makkah,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Testing,['r'],not found,4.443075898801598,2024-07-09
Stats Perform,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-10
Epic,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Management and Leadership,['r'],not found,4.443075898801598,2024-07-09
Saudi General Authority of Foreign Trade,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,DevOps and System Administration,['r'],not found,4.443075898801598,2024-07-09
MLKA photography,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-09
MLKA photography,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-09
SSCL,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-09
Creative Technology,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,IT Professional,['r'],not found,4.443075898801598,2024-07-09
KDD,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-09
Ooredoo Kuwait,Not mentioned,Kuwait City,Kuwait,Full Time,Not Mentioned,Experienced,Management and Leadership,"['java', 'javascript', 'sql', 'r', 'c#', 'java']",not found,4.443075898801598,2024-07-09
Dev2Work LLC,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,IT Professional,['r'],not found,4.443075898801598,2024-07-09
"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-09
Department of Culture and Tourism – Abu Dhabi (DCT Abu Dhabi),Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,IT Professional,['r'],not found,4.443075898801598,2024-07-09
Impala Terminals,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Customer Service,['r'],not found,4.443075898801598,2024-07-09
Smiths Detection,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,AI and Machine Learning,['r'],not found,4.443075898801598,2024-07-09
RLDatix,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Customer Service,"['sql', 'r']",not found,4.443075898801598,2024-07-09
Smiths Detection,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-09
QatarEnergy LNG,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-09
Campfire Consulting,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-09
Rosewood Doha,Not mentioned,Doha,Qatar,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-09
Campfire Consulting,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-09
GO! Web 2.0,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Other,['r'],not found,4.443075898801598,2024-07-09
GO! Web 2.0,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Other,['r'],not found,4.443075898801598,2024-07-09
GO! Web 2.0,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-09
GO! Web 2.0,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-09
Core42,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,IT Professional,['r'],not found,4.443075898801598,2024-07-09
Core42,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Other,['r'],not found,4.443075898801598,2024-07-09
Core42,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,IT Professional,['r'],not found,4.443075898801598,2024-07-09
Core42,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,IT Professional,"['java', 'r', 'java']",not found,4.443075898801598,2024-07-09
Cathay Pacific,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,AI and Machine Learning,"['java', 'r', 'java']",['react'],4.443075898801598,2024-07-08
Die Lachswerkstatt,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Other,['r'],not found,4.443075898801598,2024-07-08
Die Lachswerkstatt,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
M2,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Software Engineering,"['java', 'javascript', 'r', 'java']",not found,4.443075898801598,2024-07-08
Darren Edwards,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-08
eXpertiese werving+selectie,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-08
Up-Tek IT Servicing & Consulting,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-08
Up-Tek IT Servicing & Consulting,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-08
Constructive Consultants,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
Constructive Consultants,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
Norconsult Telematics,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Senior Management,Other,['r'],not found,4.443075898801598,2024-07-08
Constructive Consultants,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Administrative,['r'],not found,4.443075898801598,2024-07-08
Constructive Consultants,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
ChangePath Consulting,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
Constructive Consultants,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
Progressive Solar Heating ltd,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-08
Creative HR Consultancy FZE LLC,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Sales and Marketing,['r'],not found,4.443075898801598,2024-07-08
DXC Technology,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Management and Leadership,['r'],not found,4.443075898801598,2024-07-08
avua,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Other,['r'],not found,4.443075898801598,2024-07-07
ChangePath Consulting,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Design and Creative,['r'],not found,4.443075898801598,2024-07-07
JOBWORLD INDIA,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Software Engineering,['r'],not found,4.443075898801598,2024-07-07
JOBWORLD INDIA,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Entry Level,Design and Creative,['r'],not found,4.443075898801598,2024-07-07
avua,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Public Relations,['r'],not found,4.443075898801598,2024-07-07
SiFi,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-07
MDAR Food Company,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-07
Independent Food Company,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Experienced,Management and Leadership,['r'],not found,4.443075898801598,2024-07-07
MDAR Food Company,Not mentioned,Dubai,United Arab Emirates,Full Time,Not Mentioned,Entry Level,Quality Assurance,['r'],not found,4.443075898801598,2024-07-07
www.PokenCape.co.za,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Not specified,Data Entry,['r'],not found,4.443075898801598,2024-07-07
EBR Consulting,Not mentioned,Riyadh,Saudi Arabia,Full Time,Not Mentioned,Experienced,Cybersecurity,['r'],not found,4.443075898801598,2024-07-07
